time, temp
6.0,188
66.0,186.62
126.0,185.0
186.0,183.02
246.0,181.22
306.0,179.06
366.0,177.08
426.0,174.92
486.0,172.94
546.0,170.96
606.0,168.98
666.0,167.0
726.0,165.20
786.0,163.22
846.0,161.24
906.0,159.44
966.0,157.64
1026.0,155.84
1086.0,154.22
1146.0,152.42
1206.0,150.8
1266.0,149.36
1326.0,147.74
1386.0,146.3
1446.0,144.68
1506.0,143.24
1566.0,141.8
1626.0,140.54
1686.0,139.10
1746.0,137.84
1806.0,136.58
1866.0,135.32
1926.0,134.06
1986.0,132.8
2046.0,131.54
2106.0,130.46
2166.0,129.2
2226.0,128.12
2286.0,127.22
2346.0,126.14
2406.0,125.06
2466.0,123.98
2526.0,123.08
2586.0,122.0
2646.0,121.10
2706.0,120.2
2766.0,119.30
2826.0,118.4
2886.0,117.5
2946.0,116.78
3006.0,115.88
3066.0,114.98
3126.0,114.26
3186.0,113.54
3246.0,112.82
3306.0,112.10
3366.0,111.38
3426.0,110.66
3486.0,109.94
3546.0,109.22
